player_idx,mean,sd,q05,q25,q50,q75,q95,athlete_id,athlete_display_name,athlete_position_abbreviation,team_id,team_abbreviation
115,4.154094908933875,0.8985624432148933,2.885606861639148,3.4873006908136115,4.0599782537505575,4.702134621224319,5.7602738938356755,3907498,Matisse Thybulle,G,22,POR
168,3.6265289426154235,0.39351120422128305,3.0120804266689962,3.3502893595117698,3.6147354366556446,3.8840804756163108,4.3121335364481075,4066993,Dru Smith,G,14,MIA
93,3.31144125925675,0.45177788701786736,2.6043525317273213,2.9926205470433334,3.2870236115198486,3.5894770791698525,4.108234695260204,3134932,John Konchar,G,29,MEM
417,3.3045196834363155,0.32923745068154975,2.789325412698655,3.0722673468058908,3.2875519956279775,3.5238625341038055,3.8642048794910284,4684742,Ausar Thompson,G,8,DET
400,3.2506148930273056,0.29593705460042263,2.780807807622328,3.0436868820121035,3.2420480896746007,3.4458305297274547,3.7548447756040373,4683692,Cason Wallace,G,25,OKC
59,3.114516708952308,0.40496216455741946,2.484188993174525,2.8304149292996836,3.0967551677852305,3.3784515851045676,3.800882335339061,2991350,Alex Caruso,G,25,OKC
282,3.0890850913663175,0.3780927944438078,2.498890135538571,2.828068353368553,3.0680436850566446,3.331499359672879,3.7501709149226676,4432165,Jalen Suggs,G,19,ORL
274,3.0481118101282703,0.6533541537244406,2.109661252504058,2.557187799699481,2.985602802499739,3.473495386797689,4.200392706817717,4431785,Scotty Pippen Jr.,G,29,MEM
239,2.9965478342729384,0.34428033208746145,2.450709136937296,2.755421657918329,2.977817818420127,3.2178402070329617,3.585747375618469,4397140,Kevin Porter Jr.,G,15,MIL
163,2.9589586336996443,0.41216346873251875,2.320108463352404,2.670770861961313,2.9312913754118357,3.2242882058582483,3.667393115949601,4066436,De'Anthony Melton,G,9,GS
196,2.92807074341344,0.3290399635498542,2.400242194243204,2.6966725681553054,2.9154707579553607,3.1408106090968944,3.5027110761416242,4278402,Jordan Goodwin,G,21,PHX
49,2.917882401785073,0.33793158067598666,2.3871750268885465,2.6881718485500663,2.9073963949167982,3.1308679021944767,3.490863769404069,2596112,Javonte Green,G,8,DET
434,2.773450981192013,0.33469434689299976,2.252602809674406,2.536491394499091,2.7580916637305606,2.9947326246319648,3.3433007234716623,4702177,Keon Ellis,G,23,SAC
40,2.766713982908781,0.38489215885733385,2.1756765807037435,2.4937613021016074,2.7442250672654005,3.009130222109501,3.435397098254967,2530530,T.J. McConnell,G,11,IND
411,2.7486811673856817,0.5287278543765688,1.9455184262096004,2.3798024299636564,2.7024501564066057,3.074878579609063,3.681039604051925,4683934,Jahmai Mashack,G,29,MEM
23,2.6799883846301853,0.28095419555041695,2.230663329436175,2.489243534078846,2.66989933912937,2.86246577746563,3.15647137390117,6450,Kawhi Leonard,F,12,LAC
430,2.659855546934043,0.7624032757641417,1.591594454232514,2.111093324395965,2.568007362595216,3.083728447047096,4.083763547184296,4701845,Kadary Richmond,G,27,WSH
162,2.655242745835293,0.38574248562859126,2.0709618619685175,2.377250000299155,2.630462171282776,2.9079011974044375,3.3053258351162214,4066421,Lonzo Ball,G,5,CLE
470,2.6510732282363025,0.3285716016121955,2.1371413862759923,2.4211017302827482,2.6370724086168442,2.8607258177374604,3.2154718958240918,4897262,Will Richard,G,9,GS
447,2.5557286926130507,0.26612783909828064,2.1274639393193286,2.3741202393929304,2.546067664423158,2.7335075414816785,3.0056037127382376,4711272,Reed Sheppard,G,10,HOU
407,2.5079328941884915,0.2957263425442796,2.045336260668011,2.3040200656774203,2.489997951592138,2.7021512757781947,3.0256190273334274,4683771,Ronald Holland II,F,8,DET
459,2.4690347830129755,0.2392761982121433,2.093852027704979,2.3086545508902327,2.456127955620389,2.6193184143874553,2.885821361930127,4869342,Dyson Daniels,G,1,ATL
72,2.4681211528640943,0.6652884006611993,1.5244292548533145,1.9851257621760112,2.3845085430943733,2.8413173388918116,3.703788688975538,3064230,Cameron Payne,PG,20,PHI
57,2.4659782260657015,0.2595054438896335,2.0619514570038757,2.2835117299694225,2.452373108165011,2.632701093811168,2.9168406589299485,2991139,Kris Dunn,G,12,LAC
198,2.45741090875576,0.3720849748696649,1.8920254504267884,2.1924133863313244,2.436803555386084,2.698010406508376,3.1107337333460525,4278562,Paul Reed,F,8,DET
415,2.4438031396052224,0.38343544467786056,1.8711623099085102,2.1700235047952345,2.4145741181592664,2.687967536373591,3.0965882974478833,4684275,Rob Dillingham,G,16,MIN
410,2.4201009108780065,0.5213741683802361,1.6598148700644144,2.044141829235591,2.373340137168471,2.753589589725496,3.344194795315287,4683834,KJ Simpson,G,30,CHA
476,2.406703735309395,0.29187221382193657,1.953610475931935,2.2036238327419455,2.3917899870582686,2.594485054157121,2.9094390037560256,4900671,Ajay Mitchell,G,25,OKC
429,2.4009289376807676,0.31136371511498967,1.9031728381585267,2.183815987408198,2.3921703652416513,2.606475038131187,2.9395628949798644,4701233,Craig Porter Jr.,G,5,CLE
499,2.3883527785304435,0.2975734406437159,1.9246298742020267,2.1830097595780087,2.371541912617311,2.579646065433312,2.907229303541926,5104155,Bilal Coulibaly,G,27,WSH
247,2.387782684160331,0.5359560242530236,1.6031440343872205,2.0069585975450464,2.3344652033710718,2.7235109226821117,3.3429601440566703,4397449,Elijah Harkless,G,26,UTAH
280,2.3817999958725475,0.7173309421198149,1.3947173380125453,1.8751491508618028,2.2845394689748795,2.776355820903391,3.73416666047873,4432117,Isaiah Stevens,G,23,SAC
260,2.3809834384505253,0.22265971712632227,2.0291615952399527,2.221245554323215,2.3713652635167395,2.5321220705991907,2.7535166811518126,4431678,Tyrese Maxey,G,20,PHI
292,2.3396805728262478,0.3046183571270831,1.8636981765930187,2.1253582960713167,2.3195599976131946,2.538279736706443,2.871068580970719,4432194,Day'Ron Sharpe,C,17,BKN
